aa-lsm-hook                                   - AppArmor system integration
gstreamer-1.0-plugins-ugly                    - GStreamer Ugly Plugins is a collection of plug-ins which have licenses that are not fully compatible with the LGPL.
gstreamer-editing-services                    - Library for creating audio/video editors
gtest                                         - Google's C++ test framework
gtk-engines                                   - gtk-engines provides a central location for commonly used GTK+ engines.
gtk-vnc                                       - GTK VNC viewer widget
gts                                           - GTS stands for the GNU Triangulated Surface Library
gufw                                          - GUFW GUI interface for UFW Firewall
guile                                         - GNU Ubiquitous Intelligent Language for Extensions
gum                                           - A tool for glamorous shell scripts
gupnp                                         - GUPnP is an object-oriented open source framework for creating UPnP devices and control points.
gupnp-av                                      - GUPnP A/V package to handle UPnP A/V profiles.
gupnp-dlna                                    - GUPnP DLNA utility for DLNA-related tasks.
gupnp-igd                                     - A library to handle UPnP IGD port mapping
gutenprint                                    - Many printer drivers
gvfs                                          - Userspace virtual filesystem
gvfs-goa                                      - GNOME Online Accounts support in gvfs
gwenhywfar                                    - A multi-platform helper library for networking, security applications and libraries
gzip                                          - gzip (Compression utility)
harfbuzz                                      - HarfBuzz is a text shaping library
harfbuzz-devel                                - Development files for harfbuzz
hdf5                                          - HDF5 is a data model, library, and file format for storing and managing data
hicolor-icon-theme                            - Default fallback icon theme
highway                                       - SIMD/vector intrinsics library
hplip-drivers                                 - HP printer + scanner drivers from the hplip packages
hsakmt                                        - libhsakmt (HSA thunk) libraries for AMD KFD
httpie                                        - Command line HTTP client, a user-friendly curl alternative with an intuitive UI, JSON support, syntax highlighting, wget-like downloads, extensions, etc.
hunspell-en                                   - English hunspell dictionaries
hwdata                                        - Hardware identification and configuration data
hyphen                                        - hyphenation library to use converted TeX hyphenation patterns
ibus                                          - Intelligent Input Bus
iio-sensor-proxy                              - IIO sensors (ambient light, compass, orientation) to D-Bus proxy
imagemagick                                   - ImageMagick? suite to create, edit, compose, or convert bitmap images
imath                                         - Imath is a library of 2D and 3D vector, matrix, and math operations for computer graphics
imlib2                                        - Fast graphics manipulation library
inetutils                                     - A collection of common network programs
inih                                          - inih (INI Not Invented Here) is a simple .INI file parser written in C
inkscape                                      - Inkscape is an open-source vector graphics editor similar to Adobe Illustrator, Corel Draw, Freehand, or Xara X
inkscape-docs                                 - Documentation for inkscape
inotify-tools                                 - inotify-tools is a C library and a set of command-line programs for Linux providing a simple interface to inotify.
intel-media-driver                            - VA-API driver for Intel Gen graphics
intel-microcode                               - The microcode data file contains the latest Linux microcode definitions for all Intel? Processors
intel-tbb                                     - High level abstract threading library
inxi                                          - Command line system information tool
iproute2                                      - Utilities for controlling TCP / IP networking
iptables                                      - Netfilter firewall
iputils                                       - A set of small useful utilities for Linux networking.
isl                                           - Integer Set Library
iso-codes                                     - Central database of ISO codes
jack-audio-connection-kit                     - JACK2 low-latency audio server for multi-core machines.
jansson                                       - Jansson is a C library for encoding, decoding and manipulating JSON data.
jasper                                        - JasPer Image Processing/Coding Tool Kit
